# source_file=cooling_tables.hpp
# selected_nH_index=80
# selected_log10_nH=0.00000000
log10_T,primordial_cooling_cgs,metal_cooling_cgs
2.00000023841857910e+00,-3.86255561005410422e-25,1.24679042365593151e-27
2.01990532875061035e+00,-3.85753697558270129e-25,1.29944361499852859e-27
2.03977108001708984e+00,-3.85169940488406581e-25,1.35437383331437469e-27
2.05967712402343750e+00,-3.84579650664171670e-25,1.41180930130187972e-27
2.07957935333251953e+00,-3.83979426122911633e-25,1.47186210808380700e-27
2.09947371482849121e+00,-3.83369143605110028e-25,1.53468363175378537e-27
2.11935520172119141e+00,-3.82748581243637261e-25,1.60042101335956601e-27
2.13924932479858398e+00,-3.82117591127073604e-25,1.66921908283296685e-27
2.15911602973937988e+00,-3.81476025343999328e-25,1.74121342564207275e-27
2.17903470993041992e+00,-3.80823538767768399e-25,1.81655541988051254e-27
2.19890451431274414e+00,-3.80159909531251223e-25,1.90013095722420220e-27
2.21879816055297852e+00,-3.79484866463511630e-25,1.99509548129402578e-27
2.23869848251342773e+00,-3.78798237001226604e-25,2.09442165890890313e-27
2.25858950614929199e+00,-3.78099725321556686e-25,2.19820886805396464e-27
2.27847933769226074e+00,-3.77389010949759131e-25,2.30795952667882678e-27
2.29837274551391602e+00,-3.76665872018704344e-25,2.42432748799960903e-27
2.31825137138366699e+00,-3.75930062009359446e-25,2.54549891119468748e-27
2.33815765380859375e+00,-3.75181235795078400e-25,2.67155969273958181e-27
2.35804915428161621e+00,-3.74419097553021750e-25,2.80258879576201190e-27
2.37794351577758789e+00,-3.73643351460350038e-25,2.93866306486675878e-27
2.39781856536865234e+00,-3.72853726346127093e-25,3.07642348563781669e-27
2.41772079467773438e+00,-3.72049778476093729e-25,3.21712942366582044e-27
2.43760800361633301e+00,-3.71231187375507201e-25,3.36229119321315849e-27
2.45750355720520020e+00,-3.70397706525334625e-25,3.51191360910469183e-27
2.47739624977111816e+00,-3.69548892191316817e-25,3.66599378244550386e-27
2.49728918075561523e+00,-3.68684399246807740e-25,3.82438495737383228e-27
2.51716971397399902e+00,-3.67802502058577226e-25,3.98757208304967379e-27
2.53706336021423340e+00,-3.66903816924207476e-25,4.15506597326715404e-27
2.55695366859436035e+00,-3.65988146628472187e-25,4.32584164810987014e-27
2.57684803009033203e+00,-3.65054998133305594e-25,4.50101884324748883e-27
2.59674000740051270e+00,-3.64103952356351800e-25,4.68013764660929044e-27
2.61663317680358887e+00,-3.63134565563351617e-25,4.86309752465217794e-27
2.63651800155639648e+00,-3.62146320064335995e-25,5.05079133849836928e-27
2.65641450881958008e+00,-3.61138747473142457e-25,5.24171378130333138e-27
2.67630028724670410e+00,-3.60111379403608530e-25,5.43768023463264364e-27
2.69619917869567871e+00,-3.59063574906248721e-25,5.63670005729578744e-27
2.71608686447143555e+00,-3.57994791639190691e-25,5.84088792037169994e-27
2.73598194122314453e+00,-3.56904511912465388e-25,6.04862411677715148e-27
2.75586724281311035e+00,-3.55792045472780744e-25,6.26040630680977173e-27
2.77576327323913574e+00,-3.54656899282070997e-25,6.47625452014098231e-27
2.79565072059631348e+00,-3.53498284479430924e-25,6.69617491974660526e-27
